(0, 0, 2)
(25, -18, 4)
(-15, -26, 5)
(-35.25251375472956, -48.96182465934663, 6)
(-52.87877063209436, -73.44273698901992, 7)
(7.426374759838922, -42.51880710846001, 8)
(-10.199882117525846, -66.9997194381333, 9)
(-27.82613899489064, -91.48063176780659, 10)
(50.105263274407434, -36.07578955757333, 11)
(32.47900639704264, -60.556701887246675, 12)
(14.852749519677843, -85.03761421691996, 13)
(-2.773507357686924, -109.5185265465933, 14)
(75.15789491161115, -54.11368433636005, 15)
(57.531638034246384, -78.59459666603334, 16)
(39.90538115688156, -103.07550899570663, 17)
(22.279124279516793, -127.55642132537997, 18)
(100.21052654881487, -72.15157911514672, 19)
(82.5842696714501, -96.63249144482, 20)
(64.95801279408528, -121.11340377449335, 21)
(47.33175591672051, -145.59431610416664, 22)
